transaction_id,application_id,business_date,status,amount,currency,region,counterparty_id,product_code,trader_id,book,value_date
TXN0001892082,APP002,2025-12-22,reversed,253275.2,GBP,EMEA,CP0337,SWAP,TDR0025,BOOK_B,2026-03-03
TXN0004816516,APP014,2026-02-05,failed,70178.95,AUD,AMER,CP0090,SWAP,TDR0136,BOOK_A,2026-01-31
TXN0000641828,APP017,2026-03-21,settled,441490.87,AUD,EMEA,CP0036,EQUITY,TDR0135,BOOK_B,2025-05-12
TXN0000228040,APP013,2026-02-26,reversed,538335.1,AUD,AMER,CP0130,OPTION,TDR0132,BOOK_A,2026-01-24
TXN0002413362,APP003,2025-02-14,active,489199.5,AUD,APAC,CP0117,EQUITY,TDR0037,BOOK_D,2025-09-25
TXN0001976849,APP012,2026-04-02,settled,31878.38,EUR,APAC,CP0090,OPTION,TDR0102,BOOK_B,2025-01-11
TXN0007449416,APP014,2025-01-31,active,117771.02,CHF,EMEA,CP0401,EQUITY,TDR0195,BOOK_A,2025-06-22
TXN0000520250,APP008,2026-03-21,reversed,56657.94,AUD,LATAM,CP0049,FX,TDR0046,BOOK_A,2025-12-30
TXN0003436912,APP002,2026-01-19,failed,970874.3,JPY,LATAM,CP0487,BOND,TDR0068,BOOK_C,2025-05-15
TXN0004447625,APP019,2026-03-06,failed,401417.03,USD,LATAM,CP0306,BOND,TDR0191,BOOK_D,2025-12-19
TXN0002038761,APP002,2026-02-12,settled,628005.5,AUD,AMER,CP0235,EQUITY,TDR0111,BOOK_B,2025-04-03
TXN0004554078,APP005,2026-02-20,pending,893577.5,JPY,EMEA,CP0199,BOND,TDR0073,BOOK_C,2025-01-08
TXN0002258549,APP010,2025-01-07,active,496945.59,USD,APAC,CP0229,OPTION,TDR0103,BOOK_B,2026-04-08
TXN0006238918,APP001,2025-10-20,failed,888354.95,CHF,APAC,CP0254,EQUITY,TDR0099,BOOK_C,2026-04-13
TXN0007278695,APP018,2026-04-12,reversed,463410.16,EUR,APAC,CP0120,OPTION,TDR0166,BOOK_B,2025-07-16
TXN0007730627,APP013,2026-02-05,active,899956.75,AUD,EMEA,CP0288,FX,TDR0024,BOOK_A,2025-01-02
TXN0001976436,APP005,2025-08-13,failed,626451.34,CHF,APAC,CP0430,FUTURE,TDR0110,BOOK_D,2025-02-25
TXN0001004272,APP005,2025-02-08,active,468053.86,AUD,APAC,CP0410,OPTION,TDR0173,BOOK_B,2025-06-22
TXN0004150060,APP013,2025-12-28,settled,108607.75,EUR,LATAM,CP0129,BOND,TDR0143,BOOK_A,2025-01-16
TXN0000225544,APP008,2025-11-11,pending,464679.63,AUD,AMER,CP0434,EQUITY,TDR0053,BOOK_B,2025-03-09
TXN0004564241,APP009,2025-03-09,active,107869.51,USD,APAC,CP0454,BOND,TDR0120,BOOK_B,2025-02-12
TXN0007757989,APP004,2026-03-16,active,419259.45,GBP,EMEA,CP0422,FUTURE,TDR0050,BOOK_A,2026-03-19
TXN0003983566,APP016,2025-05-19,pending,617504.44,USD,LATAM,CP0494,FUTURE,TDR0116,BOOK_D,2026-02-25
TXN0009699808,APP004,2026-03-09,active,392848.69,CHF,LATAM,CP0129,BOND,TDR0034,BOOK_A,2026-03-15
TXN0001370815,APP018,2025-08-04,pending,720151.9,USD,LATAM,CP0267,FX,TDR0123,BOOK_B,2025-06-19
TXN0004354429,APP015,2025-04-24,pending,950542.53,CHF,AMER,CP0257,SWAP,TDR0191,BOOK_D,2025-11-05
TXN0008932729,APP007,2025-04-13,pending,827635.54,CHF,APAC,CP0490,EQUITY,TDR0022,BOOK_B,2025-02-08
TXN0008011842,APP004,2026-02-25,active,954986.32,CHF,EMEA,CP0349,BOND,TDR0143,BOOK_B,2025-10-26
TXN0008010329,APP011,2026-02-22,pending,280304.46,CHF,APAC,CP0453,FX,TDR0017,BOOK_A,2025-05-18
TXN0008732774,APP015,2025-05-09,settled,201626.9,USD,LATAM,CP0095,FUTURE,TDR0147,BOOK_A,2025-02-13
TXN0002178697,APP003,2026-02-09,active,484689.64,USD,EMEA,CP0483,SWAP,TDR0018,BOOK_C,2025-02-17
TXN0003117929,APP007,2025-12-09,settled,72769.14,AUD,AMER,CP0064,BOND,TDR0050,BOOK_B,2026-02-21
TXN0005577272,APP011,2026-03-22,pending,955566.64,GBP,EMEA,CP0469,FX,TDR0142,BOOK_D,2025-01-20
TXN0009205352,APP011,2025-05-25,failed,706946.58,GBP,LATAM,CP0104,BOND,TDR0106,BOOK_D,2025-03-18
TXN0008976380,APP002,2025-07-04,settled,754840.91,JPY,EMEA,CP0218,FUTURE,TDR0025,BOOK_C,2025-05-09
TXN0001110319,APP009,2025-04-26,failed,420563.81,JPY,AMER,CP0208,SWAP,TDR0131,BOOK_B,2025-10-29
TXN0004879591,APP005,2025-08-04,reversed,42625.7,USD,EMEA,CP0280,BOND,TDR0091,BOOK_C,2025-07-21
TXN0008945346,APP009,2025-02-05,failed,208454.65,CHF,LATAM,CP0129,BOND,TDR0098,BOOK_C,2025-06-23
TXN0000260195,APP010,2025-12-31,reversed,732998.13,EUR,APAC,CP0101,EQUITY,TDR0178,BOOK_B,2025-08-10
TXN0009271305,APP012,2025-08-11,pending,757544.69,USD,EMEA,CP0100,FX,TDR0060,BOOK_D,2025-05-28
TXN0008231024,APP014,2025-06-07,active,833272.79,AUD,AMER,CP0498,FX,TDR0005,BOOK_D,2025-12-10
TXN0009300652,APP013,2025-03-04,pending,302218.58,CHF,AMER,CP0478,EQUITY,TDR0027,BOOK_C,2026-03-07
TXN0005485709,APP010,2025-08-01,settled,243382.78,AUD,EMEA,CP0164,OPTION,TDR0013,BOOK_A,2025-04-25
TXN0005930131,APP004,2025-11-13,active,668424.74,EUR,AMER,CP0437,BOND,TDR0153,BOOK_A,2026-01-30
TXN0007255032,APP003,2025-10-25,settled,326770.72,JPY,AMER,CP0184,FX,TDR0183,BOOK_B,2025-03-19
TXN0004826646,APP004,2025-09-11,pending,391043.63,GBP,APAC,CP0244,FX,TDR0018,BOOK_A,2025-12-18
TXN0007103115,APP001,2025-08-08,failed,207140.46,CHF,APAC,CP0179,FX,TDR0127,BOOK_A,2025-02-03
TXN0006203916,APP001,2025-05-16,reversed,845943.71,JPY,APAC,CP0380,OPTION,TDR0109,BOOK_A,2025-06-20
TXN0006213637,APP012,2025-05-01,settled,932825.2,JPY,EMEA,CP0127,FX,TDR0049,BOOK_D,2026-02-14
TXN0006120820,APP020,2025-11-23,active,597398.23,CHF,APAC,CP0164,SWAP,TDR0196,BOOK_D,2025-12-03
TXN0004829836,APP003,2025-07-16,reversed,487647.77,CHF,AMER,CP0449,BOND,TDR0162,BOOK_A,2025-03-07
TXN0000089748,APP005,2025-01-15,pending,147820.36,USD,LATAM,CP0414,FUTURE,TDR0012,BOOK_A,2025-10-11
TXN0008072018,APP015,2026-04-03,pending,459059.33,CHF,EMEA,CP0340,EQUITY,TDR0016,BOOK_C,2025-06-25
TXN0005881818,APP004,2025-08-18,reversed,903981.59,GBP,LATAM,CP0477,BOND,TDR0145,BOOK_B,2025-08-19
TXN0001786711,APP011,2025-08-18,settled,140760.35,CHF,APAC,CP0062,FX,TDR0023,BOOK_A,2025-03-09
TXN0001908190,APP004,2025-09-28,pending,395318.4,JPY,APAC,CP0125,FX,TDR0070,BOOK_C,2026-01-03
TXN0002496549,APP011,2025-12-25,reversed,480585.64,EUR,APAC,CP0010,EQUITY,TDR0171,BOOK_B,2025-10-29
TXN0008422287,APP010,2025-11-30,failed,935670.68,GBP,EMEA,CP0130,BOND,TDR0047,BOOK_D,2025-09-07
TXN0001715916,APP018,2026-02-12,reversed,940681.09,CHF,AMER,CP0233,SWAP,TDR0050,BOOK_A,2025-06-09
TXN0006616151,APP018,2025-12-20,reversed,926116.89,JPY,EMEA,CP0498,SWAP,TDR0119,BOOK_A,2025-02-23
TXN0007037074,APP008,2025-01-26,reversed,474033.82,EUR,LATAM,CP0355,OPTION,TDR0047,BOOK_C,2025-03-08
TXN0008963998,APP020,2025-10-09,reversed,391071.15,CHF,EMEA,CP0434,SWAP,TDR0103,BOOK_A,2025-07-31
TXN0001028016,APP007,2025-05-31,settled,382962.93,JPY,AMER,CP0497,FUTURE,TDR0015,BOOK_D,2025-07-06
TXN0009283112,APP004,2025-06-13,failed,752746.76,EUR,EMEA,CP0430,OPTION,TDR0162,BOOK_D,2025-12-31
TXN0002500412,APP001,2025-05-29,failed,366259.19,AUD,LATAM,CP0062,EQUITY,TDR0135,BOOK_A,2025-11-24
TXN0001854143,APP006,2025-11-10,failed,482145.27,GBP,LATAM,CP0426,OPTION,TDR0186,BOOK_D,2025-01-09
TXN0004558692,APP013,2025-08-05,reversed,591334.37,JPY,APAC,CP0343,OPTION,TDR0017,BOOK_C,2025-10-20
TXN0001431164,APP009,2025-08-21,active,324027.39,USD,APAC,CP0299,FX,TDR0187,BOOK_B,2025-12-08
TXN0008224920,APP001,2025-07-09,failed,41706.53,CHF,EMEA,CP0021,EQUITY,TDR0037,BOOK_B,2025-04-14
TXN0004244490,APP014,2025-07-27,pending,692403.19,USD,APAC,CP0417,FUTURE,TDR0133,BOOK_A,2025-05-12
TXN0005763876,APP010,2025-03-11,pending,667377.58,CHF,LATAM,CP0092,FX,TDR0132,BOOK_D,2026-03-30
TXN0008105287,APP019,2025-12-04,failed,519420.15,AUD,AMER,CP0022,SWAP,TDR0085,BOOK_A,2025-05-27
TXN0003846876,APP016,2025-11-28,failed,659906.41,AUD,EMEA,CP0138,FUTURE,TDR0092,BOOK_B,2025-01-08
TXN0006286687,APP003,2025-10-02,reversed,403206.88,JPY,APAC,CP0212,FUTURE,TDR0061,BOOK_D,2025-08-11
